# Voltage,Time
5.246153846153845945e-01,0.000000000000000000e+00
5.375091575091575091e-01,5.000000000000000409e-06
5.447619047619047805e-01,1.000000000000000082e-05
5.713553113553113683e-01,1.500000000000000207e-05
5.987545787545787146e-01,2.000000000000000164e-05
6.277655677655678002e-01,2.500000000000000120e-05
6.543589743589743879e-01,3.000000000000000076e-05
6.817582417582417342e-01,3.500000000000000371e-05
7.091575091575091916e-01,4.000000000000000327e-05
7.349450549450549097e-01,4.500000000000000283e-05
7.615384615384614975e-01,5.000000000000000240e-05
7.889377289377289548e-01,5.500000000000000196e-05
8.139194139194139144e-01,6.000000000000000152e-05
8.397069597069597435e-01,6.500000000000000786e-05
8.654945054945054617e-01,7.000000000000000742e-05
8.888644688644689040e-01,7.500000000000000698e-05
9.146520146520146222e-01,8.000000000000000654e-05
9.396336996336995817e-01,8.500000000000000611e-05
9.638095238095237827e-01,9.000000000000000567e-05
9.871794871794872250e-01,9.500000000000000523e-05
1.012161172161172074e+00,1.000000000000000048e-04
1.034725274725274646e+00,1.050000000000000044e-04
1.058901098901098958e+00,1.100000000000000039e-04
1.080659340659340550e+00,1.150000000000000035e-04
1.104029304029304104e+00,1.200000000000000030e-04
1.126593406593406677e+00,1.250000000000000026e-04
1.148351648351648269e+00,1.300000000000000157e-04
1.170915750915750841e+00,1.350000000000000288e-04
1.191868131868131897e+00,1.400000000000000419e-04
1.214432234432234470e+00,1.450000000000000551e-04
1.235384615384615303e+00,1.500000000000000682e-04
1.256336996336996359e+00,1.550000000000000813e-04
1.277289377289377192e+00,1.600000000000000944e-04
1.298241758241758248e+00,1.650000000000001075e-04
1.317582417582417564e+00,1.700000000000001206e-04
1.338534798534798620e+00,1.750000000000001337e-04
1.357875457875457936e+00,1.800000000000001469e-04
1.377216117216117253e+00,1.850000000000001600e-04
1.398168498168498086e+00,1.900000000000001731e-04
1.416703296703296644e+00,1.950000000000001862e-04
1.436043956043955960e+00,2.000000000000001993e-04
1.452967032967033001e+00,2.050000000000002124e-04
1.473113553113553076e+00,2.100000000000002255e-04
1.491648351648351634e+00,2.150000000000002387e-04
1.510183150183150191e+00,2.200000000000002518e-04
1.527912087912087991e+00,2.250000000000002649e-04
1.545641025641025568e+00,2.300000000000002780e-04
1.564981684981684884e+00,2.350000000000002911e-04
1.581098901098901166e+00,2.400000000000003042e-04
1.602051282051282000e+00,2.450000000000003174e-04
1.615750915750915784e+00,2.500000000000003305e-04
1.632673992673992602e+00,2.550000000000003436e-04
1.648791208791208884e+00,2.600000000000003567e-04
1.666520146520146461e+00,2.650000000000003698e-04
1.682637362637362743e+00,2.700000000000003829e-04
1.698754578754578803e+00,2.750000000000003960e-04
1.716483516483516381e+00,2.800000000000004092e-04
1.731794871794871904e+00,2.850000000000004223e-04
1.747106227106227205e+00,2.900000000000004354e-04
1.764835164835164782e+00,2.950000000000004485e-04
1.778534798534798567e+00,3.000000000000004616e-04
1.793846153846153868e+00,3.050000000000004747e-04
